ThreatID,System,ThreatType,Severity,Date,Description,SourceFile,SourceThreatID,Threat Description,Control Design,Control Owner,Control Mitigation Effectiveness,Threat Mitigation,Action Ref.,Control Weakness,Threat,Recommendation,Step No.,Asset Ref.,Asset Title,Threat Title,Required Control,Control Effectiveness,Recommendations,Kill Chain Stage,Mitigation,Mitigated,Version No.,Date Of Issue,Authors,Status,Comments
THR-000032,Data Explorer,,,,Malicious actor attempts to manipulate authentication mechanism.,Threat Model - Data Explorer.pptx,T02,,,,,,,,,,,,,,Implement strict bearer token management with expiration policies and enforce IP restrictions to limit access.,,,,,,,,,,
THR-000033,Data Explorer,,,,Malicious actor intercepts the token,Threat Model - Data Explorer.pptx,T03,,,,,,,,,,,A01,,,Delta Sharing operates over HTTPS.,,,,,,,,,,
THR-000034,Easy Generator support - PF,,,,"Malicious actor intercepts, steals email with credentials/secret and creates malicious learning content package",Threat Model-  Easy Generator support - PF.pptx,T01,"Malicious actor intercepts, steals email with credentials/secret and creates malicious learning content package",The secret can be revoked by authorized users using PF,PF,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000035,Easy Generator support - PF,,,,Malicious package reaches people first app,Threat Model-  Easy Generator support - PF.pptx,T02,Malicious package reaches people first app,PF administrators can authorize content published in the web application,PF,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000036,Rustici Generator AI,,,,,Rustici Generator AI.pptx,T01,,,PF,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000037,Rustici Generator AI,,,,,Rustici Generator AI.pptx,T02,,,PF,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000038,Itrent Integrations (SFTP Setup),,,,A malicious actor intercepts sensitive customer data when sent over the internet.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T01,A malicious actor intercepts sensitive customer data when sent over the internet.,"The Cloud Services team have configured the MHR SFTP server to only accept connections that are encrypted using SSH, to prevent this being intercepted and read.",Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000039,Itrent Integrations (SFTP Setup),,,,A malicious actor that has compromised the network is able to find SFTP credentials to escalate privileges and move laterally.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T02,A malicious actor that has compromised the network is able to find SFTP credentials to escalate privileges and move laterally.,The Cloud Services team store the MHR SFTP credentials within the SAP Data Services repository database. These are encrypted and only accessible to SAP DS admins.,Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000040,Itrent Integrations (SFTP Setup),,,,A malicious actor that has compromised the Logic App is able to find SFTP Credentials to escalate privileges and move laterally.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T03,A malicious actor that has compromised the Logic App is able to find SFTP Credentials to escalate privileges and move laterally.,The Professional Services team store the MHR and customer SFTP credentials in a customer-specific Azure Key Vault. These are encrypted and only accessible to X within professional services.,Professional Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000041,Itrent Integrations (SFTP Setup),,,,A malicious actor intercepts sensitive customer data when sent over the internet between the MHR data centre and MHR Azure environment.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T04,A malicious actor intercepts sensitive customer data when sent over the internet between the MHR data centre and MHR Azure environment.,The Cloud Services team have configured an IPSec VPN that encrypts data sent over the internet between the MHR data centre and MHR Azure environment.,Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000042,Itrent Integrations (SFTP Setup),,,,A malicious actor intercepts sensitive customer data when sent over the internet.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T05,A malicious actor intercepts sensitive customer data when sent over the internet.,"The Professional Services team configure SAP Data Services to send sent data to the customer’s SFTP server via SSH, which is encrypted to prevent it being read if intercepted.",Professional Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000043,Itrent Integrations (SFTP Setup),,,,Malicious actor intercepts data going from Logic App to customer SFTP over the internet.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T06,Malicious actor intercepts data going from Logic App to customer SFTP over the internet.,"The Professional Services team configure the Logic Apps to send sent data to the customer’s SFTP server via SSH, which is encrypted to prevent it being read if intercepted.",Professional Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000044,Itrent Integrations (SFTP Setup),,,,A malicious actor that has compromised MSMAS is able to connect to arbitrary location outside of the network.,Threat Model - Itrent Integrations (SFTP Setup).pptx,T07,A malicious actor that has compromised MSMAS is able to connect to arbitrary location outside of the network.,The Cloud Services team have configured the perimeter firewall to only allow outbound connections locked to the customer IP address and the SSH protocol.,Cloud Services,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000045,Itrent Integrations (SFTP Setup),,,,N/A,Threat Model - Itrent Integrations (SFTP Setup).pptx,,,,,,,A01,N/A,N/A,,,,,,,,N/A,,,,,,,,
THR-000046,Research Data Bricks Workspace,,,,Malicious actor attempts to gain unauthorised access to production data by compromising user credentials or exploiting misconfigurations.,Research Data Bricks Workspace.pptx,T01,Malicious actor attempts to gain unauthorised access to production data by compromising user credentials or exploiting misconfigurations.,"This is mitigated through strict firewall controls, the use of Azure Bastion for gated access, and enforcement of role-based access with no direct researcher permissions on production resources.",Cloud Infrastructure,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000047,Research Data Bricks Workspace,,,,"Error in the anonymised view generation process that causes sensitive data to appear in the research output database,",Research Data Bricks Workspace.pptx,T02,"Error in the anonymised view generation process that causes sensitive data to appear in the research output database,","View creation and deployment will be all be automated and will be developed as part of the normal development processes. This will include peer review of changes, test deployments into lower environments and suitable testing to confirm that views are creating correctly and are not exposing PII.",Cloud Infrastructure,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000048,Research Data Bricks Workspace,,,,Malicious actor within the research environment attempts to reverse engineer anonymised views to re-identify individuals.,Research Data Bricks Workspace.pptx,T03,Malicious actor within the research environment attempts to reverse engineer anonymised views to re-identify individuals.,"Mitigation includes applying robust anonymisation techniques, redacting sensitive fields, and restricting access to only necessary attributes via schema-level controls and Unity Catalog permissions.",Cloud Infrastructure,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000049,Research Data Bricks Workspace,,,,Malicious actor attempts to pivot from the research workspace into other internal systems or lateral environments outside of the defined research scope.,Research Data Bricks Workspace.pptx,T04,Malicious actor attempts to pivot from the research workspace into other internal systems or lateral environments outside of the defined research scope.,"Mitigated by network isolation, scoped firewall rules, and limited credentials . Researchers are confined to the research workspace and cannot access production systems or unrelated infrastructure without explicit approval and controlled entry via Bastion.",Cloud Infrastructure,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000050,Copilot,,,,"A malicious, external actor is able to use the MHR Copilot to obtain access to Highly Sensitive information from O365.",Threat Model - Copilot.pptx,T01,,,,,,,,,,,,,"A malicious, external actor is able to use the MHR Copilot to obtain access to Highly Sensitive information from O365.",,,,,,,,,,,
THR-000051,Copilot,,,,Another customer is able to access MHR data through their Copilot.,Threat Model - Copilot.pptx,T02,,,,,,,,,,,,,Another customer is able to access MHR data through their Copilot.,,,,,,,,,,,
THR-000052,Copilot,,,,An authorized MHR user is able to access documents that they are not authorized to access.,Threat Model - Copilot.pptx,T03,,,,,,,,,,,,,An authorized MHR user is able to access documents that they are not authorized to access.,,,,,,,,,,,
THR-000053,Copilot,,,,"Highly Sensitive data is returned in the search data, such as passwords or customer personal data.",Threat Model - Copilot.pptx,T04,,,,,,,,,,,,,"Highly Sensitive data is returned in the search data, such as passwords or customer personal data.",,,,,,,,,,,
THR-000054,Copilot,,,,"A malicious MHR user is able to ""jailbreak"" the system through prompt injection and undertake unauthorized actions, such as deleting or changing documents.",Threat Model - Copilot.pptx,T05,,,,,,,,,,,,,"A malicious MHR user is able to ""jailbreak"" the system through prompt injection and undertake unauthorized actions, such as deleting or changing documents.",,,,,,,,,,,
THR-000055,Copilot,,,,"Recall does not perform content moderation, it may capture and store sensitive information such as passwords, financial details, or personal messages",Threat Model - Copilot.pptx,T06,,,,,,,,,,,,,"Recall does not perform content moderation, it may capture and store sensitive information such as passwords, financial details, or personal messages",,,,,,,,,,,
THR-000056,Copilot,,,,"A malicious, external actor is able to use the MHR Copilot to obtain access to Highly Sensitive information from O365.",Threat Model - Copilot.pptx,T01,,,,,Sufficiently Mitigated,,,,,,A01,,,Corporate Entra ID.,Present,,,,,,,,,
THR-000057,Copilot,,,,Another customer is able to access MHR data through their Copilot.,Threat Model - Copilot.pptx,T02,,,,,Sufficiently Mitigated,,,,,,A01,,,"Microsoft 365 services, including Copilot, implement tenant isolation. It means each tenant's data is logically separated from others, ensuring that one organization's data is not accessible by another. Copilot for Microsoft 365 only searches for information within the user's tenant. It cannot search for other tenants to which the user may have access, such as a tenant to whom the user is a Microsoft Entra B2B guest. The prompts that you enter into Copilot for Microsoft 365, the data they retrieve, and the generated responses all remain within the Microsoft 365 service boundary. This aligns with Microsoft's privacy, security, and compliance commitments.",Present,,,,,,,,,
THR-000058,Copilot,,,,An authorized MHR user is able to access documents that they are not authorized to access.,Threat Model - Copilot.pptx,T03,,,,,Sufficiently Mitigated,,,,,,A01,,,"Access to data within a tenant is controlled using role-based access controls, which ensure that only authorized users within an organization can access specific data sets based on their roles and permissions.",Present,,,,,,,,,
THR-000059,Copilot,,,,"Highly Sensitive data is returned in the search data, such as passwords or customer personal data.",Threat Model - Copilot.pptx,T04,,,,,Sufficiently Mitigated,,,,,,A01,,,"When you have data that's encrypted by Microsoft Purview Information Protection, Microsoft Copilot for Microsoft 365 honors the usage rights granted to the user. This encryption can be applied by sensitivity labels or by restricted permissions in apps in Microsoft 365 by using Information Rights Management (IRM)",Present,,,,,,,,,
THR-000060,Copilot,,,,"A malicious MHR user is able to ""jailbreak"" the system through prompt injection and undertake unauthorized actions, such as deleting or changing documents.",Threat Model - Copilot.pptx,T05,,,,,Sufficiently Mitigated,,,,,,A01,,,"Prompt Shields is a unified API that analyzes LLM inputs and detects User Prompt attacks and Document attacks, which are two common types of adversarial inputs.",Present,,,,,,,,,
THR-000061,Copilot,,,,"Recall does not perform content moderation, it may capture and store sensitive information such as passwords, financial details, or personal messages",Threat Model - Copilot.pptx,T06,,,,,Sufficiently Mitigated,,,,,,A01,,,"Recall doesn't save these snapshots. If you choose to send the information from this snapshot to another app, a temp file is created in C:\Users\[username]\AppData\Local\Temp to share the content. The temporary file is deleted once the content is transferred over the app you selected to use.",Present,,,,,,,,,
THR-000062,People First Integration SHRM,,,,Malicious actor obtains the PAT token and uses it to create or modify data in People First.,Threat Model - People First Integration SHRM.pptx,T01,Malicious actor obtains the PAT token and uses it to create or modify data in People First.,PAT is assigned to a restricted integration role with limited permissions.,PF Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000063,People First Integration SHRM,,,,Malicious actor uses the PAT to access data from other customers or communities in PF.,Threat Model - People First Integration SHRM.pptx,T02,Malicious actor uses the PAT to access data from other customers or communities in PF.,Scope PAT to SHRM-Atlanta only.,PF Engineering,Partially Effective,Partial Mitigation,,,,,,,,,,,,,,,,,,,
THR-000064,People First Integration SHRM,,,,Malicious actor uses a leaked long-lived PAT before it’s revoked.,Threat Model - People First Integration SHRM.pptx,T03,Malicious actor uses a leaked long-lived PAT before it’s revoked.,PAT expiry is enforced; tokens can be manually revoked.,PF Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000065,People First Integration SHRM,,,,Malicious actor uses the token from any IP to hit PF APIs.,Threat Model - People First Integration SHRM.pptx,T04,Malicious actor uses the token from any IP to hit PF APIs.,Restrict API access by IP allowlisting.,PF Engineering,Ineffective,Insufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000066,People First Integration SHRM,,,,Malicious actor or faulty integration overwhelms PF with excessive API calls.,Threat Model - People First Integration SHRM.pptx,T05,Malicious actor or faulty integration overwhelms PF with excessive API calls.,Apply rate limiting or throttling on endpoints.,PF Engineering,Partially Effective,Partial Mitigation,,,,,,,,,,,,,,,,,,,
THR-000067,People First Integration SHRM,,,,Malicious or misconfigured logic can't be safely tested in lower environments.,Threat Model - People First Integration SHRM.pptx,T06,Malicious or misconfigured logic can't be safely tested in lower environments.,Test scoped PATs in SHRM-like staging environment.,PF Engineering,Ineffective,Insufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000068,People First Integration SHRM,,,,Malicious actions via integration go unnoticed.,Threat Model - People First Integration SHRM.pptx,T07,Malicious actions via integration go unnoticed.,Log all integration activity via audit logs.,PF Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000069,People First Integration SHRM,,,,Malicious actor uses the PAT to access data from other customers or communities in PF.,Threat Model - People First Integration SHRM.pptx,,,,,,,A02,"Possible, but can't verify without access to SHRM prod.",Malicious actor uses the PAT to access data from other customers or communities in PF.,Create a mirrored SHRM test group or request temporary access to verify PAT scoping.,,,,,,,,,,,,,,,
THR-000070,People First Integration SHRM,,,,Malicious actor uses the token from any IP to hit PF APIs.,Threat Model - People First Integration SHRM.pptx,,,,,,,A03,Not feasible - IPs rotate dynamically.,Malicious actor uses the token from any IP to hit PF APIs.,Apply geo-restrictions and monitor token usage for anomalous IPs or patterns,,,,,,,,,,,,,,,
THR-000071,People First Integration SHRM,,,,Malicious actor or faulty integration overwhelms PF with excessive API calls.,Threat Model - People First Integration SHRM.pptx,,,,,,,A05,"Not implemented - No rate limiting, but activity is logged.",Malicious actor or faulty integration overwhelms PF with excessive API calls.,Introduce rate limiting or quotas at the API gateway to prevent abuse.,,,,,,,,,,,,,,,
THR-000072,People First Integration SHRM,,,,Malicious or misconfigured logic can't be safely tested in lower environments.,Threat Model - People First Integration SHRM.pptx,,,,,,,A06,Not currently possible - testing needs production access.,Malicious or misconfigured logic can't be safely tested in lower environments.,Provision a SHRM-like UAT or use tagged users in prod with strict audit controls.,,,,,,,,,,,,,,,
THR-000073,People First Document Manager Network Connectivity,,,,Malicious actor intercepts or alters API calls between People First and Document Manager,Threat Model - People First Document Manager Network Connectivity.pptx,T01,Malicious actor intercepts or alters API calls between People First and Document Manager,All Integration Service traffic is encrypted in transit using HTTPS/TLS.,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000074,People First Document Manager Network Connectivity,,,,Malicious actor attempts to call the Integration Service from an unauthorized network,Threat Model - People First Document Manager Network Connectivity.pptx,T02,Malicious actor attempts to call the Integration Service from an unauthorized network,The Integration Service enforces OAuth2 authentication and sits behind an application firewall that only allows the static outbound IP of People First’s Azure NAT Gateway.,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000075,People First Document Manager Network Connectivity,,,,Malicious actor spoofs their source IP to bypass firewall rules,Threat Model - People First Document Manager Network Connectivity.pptx,T03,Malicious actor spoofs their source IP to bypass firewall rules,"Azure NAT Gateway performs SNAT for all outbound connections, so every request from People First to Document Manager carries the single whitelisted public IP.",,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000076,People First Document Manager Network Connectivity,,,,Malicious actor floods outbound connections to exhaust SNAT ports,Threat Model - People First Document Manager Network Connectivity.pptx,T04,Malicious actor floods outbound connections to exhaust SNAT ports,"NAT Gateway supports up to 64,512 ports per public IP-and you can attach additional public IPs to the gateway if needed.",,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000077,People First Document Manager Network Connectivity,,,,"Malicious actor tries direct browser-to-DM uploads, bypassing People First controls",Threat Model - People First Document Manager Network Connectivity.pptx,T05,"Malicious actor tries direct browser-to-DM uploads, bypassing People First controls",The DM upload endpoint is not browser-exposed; all uploads must go through the Integration API (which is OAuth-protected and IP-restricted).,,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000078,Itrent ROI Autoenrolment,,,,A malicious actor may attempt to impersonate a legitimate user or escalate privileges to access pension functionality.,Threat Model - Itrent ROI Autoenrolment.pptx,T01,A malicious actor may attempt to impersonate a legitimate user or escalate privileges to access pension functionality.,"Enforce strong authentication, implement RBAC for pension access, log all access attempts, and monitor for anomalous login behavior.",Itrent Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
THR-000079,Itrent ROI Autoenrolment,,,,A malicious actor may trigger unauthorized or excessive outbound calls to TCS services to disrupt operations or exfiltrate data.,Threat Model - Itrent ROI Autoenrolment.pptx,T02,A malicious actor may trigger unauthorized or excessive outbound calls to TCS services to disrupt operations or exfiltrate data.,"Restrict access to initiation functions through strict user role validation, enforce rate limits, and log all job triggers with time, user, and scope metadata.",Itrent Engineering,Effective,Sufficient Mitigation,,,,,,,,,,,,,,,,,,,
